date,open,close,high,low,volume,turnover,amount,code,name,prev_amount,amount_ratio_1d,MA5,MA10,MA20,turnover_ma5,score
2026-08-21,29.76,28.65,29.76,27.51,18441000.0,0.1382,523717600.0,1210,金房能源,145946400.0,3.588424243420872,27.826,25.264,22.1,0.0948399999999999,100
2026-08-21,3.77,3.97,4.02,3.75,293188800.0,0.0626,1151240000.0,601975,招商南油,737901000.0,1.5601550885552398,3.7760000000000007,3.694,3.679,0.04188,100
2026-08-21,6.08,6.49,6.5,6.04,32719100.0,0.052,206082800.0,2469,三维化学,89225700.0,2.3096798343974885,6.19,6.007,5.869,0.03174,100
2026-08-21,18.5,19.48,19.69,18.4,53464100.0,0.0504999999999999,1030951400.0,2497,雅化集团,566918400.0,1.8185181500547525,19.16,19.098,18.503,0.0349999999999999,100
2026-08-21,7.82,8.66,8.66,7.73,121986500.0,0.0547,1025608100.0,600577,精达股份,391653500.0,2.6186619039533667,8.266,8.235000000000001,8.032499999999999,0.0416999999999999,100
2026-08-21,19.64,19.9,20.43,19.5,11353417.0,0.0781,226245100.0,688589,力合微,42782000.0,5.288324529007527,18.93,18.705,17.996000000000002,0.03484,100
2026-08-21,14.39,14.5,14.73,14.22,2382700.0,0.0425,34466600.0,603273,天元智能,21829900.0,1.5788711812697265,14.432,14.395,14.01,0.0416,100
2026-08-21,14.82,15.63,16.23,14.71,27810100.0,0.0965,432524100.00000006,600714,金瑞矿业,196149900.00000003,2.2050691843330026,15.674,15.432,14.645499999999998,0.06436,100
2026-08-21,10.61,10.42,10.78,10.18,14333300.0,0.0702,148517500.0,603177,德创环保,73558900.0,2.0190282888950217,10.462,9.996,9.3805,0.0712399999999999,100
2026-08-21,9.92,10.25,10.3,9.76,61708400.0,0.0397,623985800.0,600888,新疆众和,410675600.0,1.5194128893949386,10.106,10.119,9.718,0.03354,100
2026-08-21,6.25,6.72,6.72,6.25,35618900.0,0.0681,237551500.0,2686,亿利达,64569200.0,3.679021886596086,6.234,6.265,6.0515,0.0342399999999999,100
2026-08-21,4.59,4.6,4.81,4.47,79793100.0,0.1835999999999999,368327200.0,2743,富煌钢构,200992700.0,1.832540186782903,4.313999999999999,4.177,3.938,0.0748399999999999,100
2026-08-21,5.07,5.51,5.6,4.99,272479000.0,0.0759,1475695600.0,600500,中化国际,637007900.0,2.3166048647120387,5.384,5.336,5.0775,0.0502399999999999,100
2026-08-21,8.67,9.54,9.54,8.45,41079200.0,0.0518,376896700.0,2631,德尔未来,218099900.00000003,1.728092034888599,8.972,8.921,7.9305,0.0399999999999999,100
2026-08-21,3.7,4.13,4.13,3.65,79812600.0,0.059,317387500.0,2638,勤上股份,132392600.0,2.397320545105996,3.774,3.702,3.6265,0.03194,100
2026-08-21,13.23,13.9,13.97,13.03,90653200.0,0.075,1237244600.0,600531,豫光金铅,804121300.0,1.5386293087871197,13.336,13.419999999999998,12.765,0.0449999999999999,100
2026-08-21,38.0,40.7,42.0,37.95,106594200.0,0.0838,4326127700.0,600498,烽火通信,2677416800.0,1.6157841767482746,39.846,39.511,37.4565,0.0735,100
2026-08-21,12.67,12.41,12.92,11.9,18404400.0,0.0455999999999999,228776500.0,603439,三力制药,135613700.0,1.68697189148294,12.794,12.739999999999998,11.615,0.0423599999999999,100
2026-08-21,23.88,25.2,25.31,23.86,13151000.0,0.096,323228100.0,1257,盛龙股份,211382000.0,1.5291183733714315,24.798,25.181,24.9185,0.0775399999999999,100
2026-08-21,9.7,10.74,10.74,9.47,220283200.0,0.127,2285226600.0,600110,诺德股份,924937000.0,2.470683516823308,10.356,10.327,9.641,0.08848,100
2026-08-21,11.15,11.6,11.73,10.96,19600500.0,0.0688,224507100.0,2735,王子新材,107564800.0,2.087180006842387,11.536,11.775,11.443,0.0497199999999999,100
2026-08-21,26.83,33.07,34.46,26.83,2896430.0,0.0335,95277200.0,688479,友车科技,50339600.0,1.8926888572813447,33.898,34.106,31.334000000000003,0.0312599999999999,100
2026-08-21,13.32,13.54,13.56,12.72,25551300.0,0.0904,334687400.0,2811,郑中设计,214846200.0,1.557799951779459,12.552,11.575,10.774,0.07468,100
2026-08-21,13.75,14.28,14.38,13.42,7410500.0,0.0426,104046600.0,2806,华锋股份,49196300.0,2.114927342096865,14.053999999999998,14.118,13.524,0.0342999999999999,100
2026-08-21,12.85,13.82,14.22,12.83,74681000.0,0.0960999999999999,1030111800.0,2815,崇达技术,427129600.0,2.411707828256342,13.572,13.247,12.52,0.0691599999999999,100
2026-08-21,7.65,6.95,7.95,6.9,72566600.0,0.1671,546822200.0,603801,志邦家居,147231700.0,3.714024900887513,6.524000000000001,6.244,6.002,0.0531799999999999,100
2026-08-21,10.18,11.32,11.32,10.08,23724300.0,0.0558,261119300.0,603803,瑞斯康达,167318200.0,1.5606150436712802,10.738,10.712,10.2935,0.0583199999999999,100
2026-08-21,14.39,15.52,15.61,14.08,28016000.0,0.0848,420017300.00000006,600379,宝光股份,272960200.0,1.5387492389000303,14.907999999999998,14.598000000000004,13.294,0.0632,100
2026-08-21,13.8,13.49,13.84,13.0,10412900.0,0.0576999999999999,139501800.0,603578,三星新材,75630300.0,1.844522631802333,13.222,12.922999999999998,12.221,0.0303999999999999,100
2026-08-21,2.63,2.73,2.82,2.61,204945500.0,0.0771,553394900.0,2721,金一文化,321518100.0,1.7211936124280407,2.63,2.749,2.6425,0.0482199999999999,100
2026-08-21,22.5,21.52,22.87,21.22,7648800.0,0.0598,167905800.00000003,1333,光华股份,110019000.0,1.5261527554331529,20.984,20.201,19.348000000000003,0.0320199999999999,100
2026-08-21,13.15,13.85,13.96,13.02,57677400.0,0.0630999999999999,786960700.0000001,600338,西藏珠峰,445014100.00000006,1.768394978945611,13.472,13.672,13.367499999999998,0.0410799999999999,100
2026-08-21,8.18,8.21,8.76,8.05,36692800.0,0.0882,308780300.0,600228,返利科技,193817500.0,1.5931497413804223,8.412,8.344,7.775999999999999,0.0699199999999999,100
2026-08-21,14.08,13.04,14.2,12.66,17539300.0,0.0735,230363200.0,603637,镇海股份,153321800.0,1.5024817084067628,13.517999999999995,13.570999999999998,12.7525,0.0425399999999999,100
2026-08-21,14.31,15.59,15.77,14.31,51569100.0,0.1264,788679299.9999999,2272,川润股份,370503200.0,2.1286706835460527,15.356,15.191,14.6225,0.0981399999999999,100
2026-08-21,31.65,33.75,34.65,31.46,62867800.0,0.0689,2105448600.0,2240,盛新锂能,701696300.0,3.0005126149304195,32.815999999999995,32.870999999999995,31.175,0.04348,100
2026-08-21,19.22,21.24,21.24,18.89,17344200.0,0.083,350051300.0,2886,沃特股份,115913800.0,3.019927739406352,20.24,20.134,19.133,0.0519199999999999,100
2026-08-21,57.83,62.36,64.11,57.83,15225400.0,0.0816,950210600.0,603757,大元泵业,312214200.0,3.043457344348848,61.328,61.20700000000001,58.969,0.05608,100
2026-08-21,11.7,11.74,12.11,11.13,261075.0,0.1441,297765100.0,20,深华发Ａ,184128200.0,1.6171618470174585,12.338,11.777,11.1925,0.07682,100
2026-08-21,20.7,21.6,21.83,20.7,8445300.0,0.0342,181984600.0,2882,金龙羽,104529800.0,1.7409829541432205,21.444,21.845,21.582,0.0341599999999999,100
2026-08-21,24.6,25.41,26.58,24.14,25200500.0,0.0659,639576600.0,2922,伊戈尔,301963700.0,2.118057899012365,26.18,26.222,25.3935,0.0572599999999999,100
2026-08-21,8.99,9.21,9.9,8.94,39663600.0,0.0896,373159600.0,605162,新中港,191710500.0,1.946474501918257,9.322,9.184,8.8635,0.06998,100
2026-08-21,13.16,13.16,13.16,12.95,15687300.0,0.0993999999999999,206290600.0,2209,达 意 隆,97891300.0,2.1073435535129272,12.052,11.701,11.166,0.0499599999999999,100
2026-08-21,65.92,72.51,72.51,65.33,27871300.0,0.1076,1971905900.0,2192,融捷股份,907159500.0,2.1737146554712816,70.04400000000001,70.402,67.669,0.0787999999999999,100
2026-08-21,21.78,20.79,21.78,20.14,16426400.0,0.0698,342238000.0,603988,中电电机,135831400.0,2.519579419780699,20.518,21.695,20.7,0.0471,100
2026-08-21,4.41,4.27,4.41,4.16,676043.0,0.0668,287132000.0,520,凤凰航运,135718200.0,2.1156484539288023,4.22,4.07,3.9535,0.0420799999999999,100
2026-08-21,15.33,16.33,16.47,15.31,11818000.0,0.0472,190598500.0,2843,泰嘉股份,116763200.0,1.6323507749016817,16.364,16.398000000000003,16.157,0.03978,100
2026-08-21,20.65,21.8,21.97,20.37,11009900.0,0.0905,236157400.00000003,1367,海森药业,50361500.0,4.689244760382436,20.084,19.69,18.8305,0.0306799999999999,100
2026-08-21,7.11,7.11,7.11,6.7,415701.0,0.0943,294182300.0,17,深中华A,66504399.99999999,4.423501302169481,6.298,6.212999999999999,6.126,0.0312599999999999,100
2026-08-21,18.62,18.22,18.7,17.62,12970300.0,0.1033999999999999,234631000.0,1360,南矿集团,106572200.0,2.201615430665784,17.458000000000002,16.887,15.767500000000002,0.0584199999999999,100
